NM0:cgs X,NM0:cgs Y,NM0:cdb X,NM0:cdb Y,NM0:csb X,NM0:csb Y,NM0:cgd X,NM0:cgd Y,NM0:id X,NM0:id Y,NM0:gm X,NM0:gm Y,NM0:gds X,NM0:gds Y,NM0:vth X,NM0:vth Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:self_gain X,NM0:self_gain Y,NM0:vdsat X,NM0:vdsat Y
0,-1.44976887753324e-15,0,-2.692181623121131e-15,0,-3.128903664327721e-15,0,-1.449991822999491e-15,0,3.156806154572959e-09,0,8.151926970639434e-08,0,6.900729646965535e-09,0,0.3663703174794232,0,25.82333809839241,0,11.8131377226524,0,0.04230819922045338
0.006,-1.449776192368069e-15,0.006,-2.692181699621732e-15,0.006,-3.128910370577443e-15,0.006,-1.449990427289351e-15,0.006,3.685712359958642e-09,0.006,9.513142270549276e-08,0.006,8.054982386712617e-09,0.006,0.3663703174794232,0.006,25.81086540333609,0.006,11.81025831445891,0.006,0.04230873373444616
0.012,-1.449790515863075e-15,0.012,-2.692181788434585e-15,0.012,-3.128918156093273e-15,0.012,-1.449988793633938e-15,0.012,4.302901080235292e-09,0.012,1.11004250901518e-07,0.012,9.401407375239564e-09,0.012,0.3663703174794232,0.012,25.79753793148916,0.012,11.80719507952281,0.012,0.04230935745054091
0.018,-1.449812979897755e-15,0.018,-2.692181891535885e-15,0.018,-3.128927194083024e-15,0.018,-1.44998688152193e-15,0.018,5.023025414094923e-09,0.018,1.295101319585522e-07,0.018,1.097177648421228e-08,0.018,0.3663703174794232,0.018,25.78329277905258,0.018,11.80393459025615,0.018,0.0423100851685148
0.024,-1.449844908486996e-15,0.024,-2.692182011218048e-15,0.024,-3.128937685462939e-15,0.024,-1.449984643553232e-15,0.024,5.863149948506539e-09,0.024,1.510820141223999e-07,0.024,1.280305862799065e-08,0.024,0.3663703174794232,0.024,25.76806296568143,0.024,11.80046257010003,0.024,0.0423109341216231
0.03,-1.449887850154525e-15,0.03,-2.69218215014013e-15,0.03,-3.128949863272916e-15,0.03,-1.449982024268912e-15,0.03,6.843142470138815e-09,0.03,1.762230777510916e-07,0.03,1.493825593186967e-08,0.03,0.3663703174794232,0.03,25.75177726405203,0.03,11.79676386285046,0.03,0.04231192437110166
0.036,-1.449943615760473e-15,0.036,-2.692182311386255e-15,0.036,-3.128963997791578e-15,0.036,-1.449978958782622e-15,0.036,7.986128025420695e-09,0.036,2.055178910052412e-07,0.036,1.742737098382339e-08,0.036,0.3663703174794232,0.036,25.7343600397057,0.036,11.79282240539948,0.036,0.04231307926319011
0.042,-1.450014322700569e-15,0.042,-2.692182498533294e-15,0.042,-3.128980402461266e-15,0.042,-1.449975371179861e-15,0.042,9.31901493934708e-09,0.042,2.39645279425083e-07,0.042,2.032852487641508e-08,0.042,0.3663703174794232,0.042,25.71573110536031,0.042,11.78862120502982,0.042,0.04231442595820203
0.04799999999999999,-1.450102446548612e-15,0.04799999999999999,-2.692182715729284e-15,0.04799999999999999,-3.128999440750054e-15,0.04799999999999999,-1.449971172645766e-15,0.04799999999999999,1.087310380877208e-08,0.04799999999999999,2.793931587606177e-07,0.04799999999999999,2.370924850632688e-08,0.04799999999999999,0.3663703174794232,0.04799999999999999,25.6958055946224,0.04799999999999999,11.78414232260719,0.04799999999999999,0.04231599604253359
0.05399999999999999,-1.450210881393707e-15,0.05399999999999999,-2.692182967784249e-15,0.05399999999999999,-3.129021534097545e-15,0.05399999999999999,-1.449966259275426e-15,0.05399999999999999,1.26847920794613e-08,0.05399999999999999,3.256756134529037e-07,0.05399999999999999,2.764797269954672e-08,0.05399999999999999,0.3663703174794232,0.05399999999999999,25.67449386084466,0.05399999999999999,11.77936686324358,0.05399999999999999,0.0423178262360402
0.05999999999999999,-1.450343010333746e-15,0.05999999999999999,-2.692183260275387e-15,0.05999999999999999,-3.12904717111379e-15,0.05999999999999999,-1.449960509512986e-15,0.05999999999999999,1.479638861869897e-08,0.05999999999999999,3.795525398456997e-07,0.05999999999999999,3.223574620185441e-08,0.05999999999999999,0.3663703174794232,0.05999999999999999,25.65170140778581,0.05999999999999999,11.77427497626425,0.05999999999999999,0.04231995920889815
0.06599999999999999,-1.450502787831574e-15,0.06599999999999999,-2.692183599668865e-15,0.06599999999999999,-3.129076918226561e-15,0.06599999999999999,-1.449953781156717e-15,0.06599999999999999,1.72570547294434e-08,0.06599999999999999,4.422522137895877e-07,0.06599999999999999,3.757821444876959e-08,0.06599999999999999,0.3663703174794232,0.06599999999999999,25.62732885971493,0.06599999999999999,11.7688458665994,0.06599999999999999,0.0423224445239983
0.07199999999999999,-1.450694835926073e-15,0.07199999999999999,-2.692183993460823e-15,0.07199999999999999,-3.129111432001928e-15,0.07199999999999999,-1.449945907856612e-15,0.07199999999999999,2.012389034201701e-08,0.07199999999999999,5.151971870261582e-07,0.07199999999999999,4.379789633852421e-08,0.07199999999999999,0.3663703174794232,0.07199999999999999,25.60127197967611,0.07199999999999999,11.76305782003954,0.07199999999999999,0.04232533972300657
0.078,-1.450924556623661e-15,0.078,-2.692184450340585e-15,0.078,-3.129151473397083e-15,0.078,-1.449936695018726e-15,0.078,2.346318669065496e-08,0.078,6.000339658338432e-07,0.078,5.10368010074305e-08,0.078,0.3663703174794232,0.078,25.57342174576226,0.078,11.75688824514067,0.078,0.04232871157657084
0.08400000000000001,-1.451198263184044e-15,0.08400000000000001,-2.692184980379537e-15,0.08400000000000001,-3.129197924243121e-15,0.08400000000000001,-1.449925915016018e-15,0.08400000000000001,2.73518696617611e-08,0.08400000000000001,6.986669790878396e-07,0.08400000000000001,5.945943187970626e-08,0.08400000000000001,0.3663703174794232,0.08400000000000001,25.54366449643667,0.08400000000000001,11.75031373493996,0.08400000000000001,0.04233263752170435
0.09000000000000001,-1.451523333466443e-15,0.09000000000000001,-2.692185595249628e-15,0.09000000000000001,-3.12925180629967e-15,0.09000000000000001,-1.449913301588643e-15,0.09000000000000001,3.187916121645518e-08,0.09000000000000001,8.132974013239959e-07,0.09000000000000001,6.925623106214834e-08,0.09000000000000001,0.3663703174794232,0.09000000000000001,25.51188215714511,0.09000000000000001,11.74331015203771,0.09000000000000001,0.04233720731212553
