NM0:cgd X,NM0:cgd Y,NM0:cgs X,NM0:cgs Y,NM0:cdb X,NM0:cdb Y,NM0:csb X,NM0:csb Y,NM0:gm X,NM0:gm Y,NM0:gds X,NM0:gds Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:id X,NM0:id Y,NM0:self_gain X,NM0:self_gain Y,NM0:vdsat X,NM0:vdsat Y,NM0:vth X,NM0:vth Y
0,-2.000373394189364e-15,0,-3.154137696446586e-15,0,-5.006293431813946e-15,0,-6.305409350764243e-15,0,3.502402128724534e-10,0,4.140544764302524e-12,0,27.56141519932673,0,1.270766100672656e-11,0,84.58795467978752,0,0.04945977663932385,0,0.5316134567475259
0.01,-2.006813240278635e-15,0.01,-3.185337739490916e-15,0.01,-5.006300001911624e-15,0.01,-6.311128565861461e-15,0.01,4.613008199641992e-10,0.01,5.45390631614847e-12,0.01,27.5569312139028,0.01,1.673995281194153e-11,0.01,84.58172788893233,0.01,0.04945979839433374,0.01,0.5316134567475259
0.02,-2.013370228884318e-15,0.02,-3.21698959529093e-15,0.02,-5.00630709644431e-15,0.02,-6.317293860013272e-15,0.02,6.075186815814081e-10,0.02,7.183387063138612e-12,0.02,27.55118541782139,0.02,2.205057896338367e-11,0.02,84.57273375938162,0.02,0.04945982704618004,0.02,0.5316134567475259
0.03,-2.020047522202673e-15,0.03,-3.249261805905481e-15,0.03,-5.006314755343352e-15,0.03,-6.323937387883627e-15,0.03,8.000156836296152e-10,0.03,9.460585550467332e-12,0.03,27.54479260878206,0.03,2.904420457219001e-11,0.03,84.56301984289928,0.03,0.04945986477808056,0.03,0.5316134567475259
0.04,-2.026848384439968e-15,0.04,-3.282240849842398e-15,0.04,-5.006323021322182e-15,0.04,-6.331093231206988e-15,0.04,1.053407289111192e-09,0.04,1.245862062957925e-11,0.04,27.53765881209561,0.04,3.825336801005695e-11,0.04,84.55248140473861,0.04,0.04945991446312827,0.04,0.5316134567475259
0.05,-2.033776186320282e-15,0.05,-3.31602697350607e-15,0.05,-5.006331939971465e-15,0.05,-6.338797398813452e-15,0.05,1.386908925973463e-09,0.05,1.64051637199212e-11,0.05,27.52967669047769,0.05,5.037871853225957e-11,0.05,84.54099877645869,0.05,0.04945997988136318,0.05,0.5316134567475259
0.06,-2.040834409393389e-15,0.06,-3.350734074989793e-15,0.06,-5.006341559894147e-15,0.06,-6.347087849103218e-15,0.06,1.825775957794038e-09,0.06,2.15995475475935e-11,0.06,27.52072373255879,0.06,6.634189138853143e-11,0.06,84.52843531888962,0.06,0.04946006600500929,0.06,0.5316134567475259
0.07000000000000001,-2.048026650658221e-15,0.07000000000000001,-3.386489396938455e-15,0.07000000000000001,-5.006351932836682e-15,0.07000000000000001,-6.356004495308814e-15,0.07000000000000001,2.403190549849784e-09,0.07000000000000001,2.843519996224023e-11,0.07000000000000001,27.51066022397642,0.07000000000000001,8.735491758314175e-11,0.07000000000000001,84.51463513676842,0.07000000000000001,0.04946017937289408,0.07000000000000001,0.5316134567475259
0.08,-2.055356627539967e-15,0.08,-3.423433051100893e-15,0.08,-5.00636311381419e-15,0.08,-6.365589189969158e-15,0.08,3.162732196616856e-09,0.08,3.742904006891362e-11,0.08,27.49932698427557,0.08,1.150112911754285e-10,0.08,84.49942052464331,0.08,0.04946032858167072,0.08,0.5316134567475259
0.09,-2.062828183261965e-15,0.09,-3.461717397769027e-15,0.09,-5.006375161227021e-15,0.09,-6.375885684636421e-15,0.09,4.161609573728084e-09,0.09,4.925996725250711e-11,0.09,27.48654285484003,0.09,1.514053805014598e-10,0.09,84.48258912547848,0.09,0.04946052492988692,0.09,0.5316134567475259
0.09999999999999999,-2.070445292656239e-15,0.09999999999999999,-3.501506301174915e-15,0.09999999999999999,-5.006388136965766e-15,0.09999999999999999,-6.386939560436006e-15,0.09999999999999999,5.474884029354907e-09,0.09999999999999999,6.481921069412531e-11,0.09999999999999999,27.47210192674787,0.09999999999999999,1.992888985835872e-10,0.09999999999999999,84.46391078703934,0.09999999999999999,0.04946078326186087,0.09999999999999999,0.5316134567475259
0.11,-2.078212068458262e-15,0.11,-3.542974277595493e-15,0.11,-5.006402106501426e-15,0.11,-6.398798124716902e-15,0.11,7.200982581929869e-09,0.11,8.527612707445077e-11,0.11,27.45577050329882,0.11,2.622757749934263e-10,0.11,84.44312410720778,0.11,0.0494611230724712,0.11,0.5316134567475259
0.12,-2.086132768132039e-15,0.12,-3.586305547048144e-15,0.12,-5.006417138957066e-15,0.12,-6.411510268683739e-15,0.12,9.468884614824053e-09,0.12,1.121640863182489e-10,0.12,27.4372838006547,0.12,3.451101642522399e-10,0.12,84.41993266862175,0.12,0.04946156995217714,0.12,0.5316134567475259
0.13,-2.094211801270178e-15,0.13,-3.631692992745271e-15,0.13,-5.00643330715684e-15,0.13,-6.42512628061744e-15,0.13,1.24474762633771e-08,0.13,1.474924297855038e-10,0.13,27.41634240259894,0.13,4.540166950118839e-10,0.13,84.39400097672329,0.13,0.04946215747508392,0.13,0.5316134567475259
0.14,-2.102453737609682e-15,0.14,-3.679337025581977e-15,0.14,-5.006450687648016e-15,0.14,-6.439697609098224e-15,0.14,1.635770542030608e-08,0.14,1.938921956829974e-10,0.14,27.39260850290108,0.14,5.971576719813493e-10,0.14,84.36495013471297,0.14,0.0494629296628632,0.14,0.5316134567475259
0.15,-2.110863315696843e-15,0.15,-3.729444344446349e-15,0.15,-5.006469360691213e-15,0.15,-6.455276570578268e-15,0.15,2.148834498616843e-08,0.15,2.54805470750618e-10,0.15,27.36570199259312,0.15,7.852291124810393e-10,0.15,84.33235331591212,0.15,0.04946394419572274,0.15,0.5316134567475259
0.16,-2.119445452222863e-15,0.16,-3.782226577551994e-15,0.16,-5.006489410213907e-15,0.16,-6.471915995752585e-15,0.16,2.821639010584474e-08,0.16,3.347309493300688e-10,0.16,27.33519648114702,0.16,1.032236626731261e-09,0.16,84.29573113067995,0.16,0.04946527659023867,0.16,0.5316134567475259
