NM0:vgs X,NM0:vgs Y,NM0:vds X,NM0:vds Y,NM0:vth X,NM0:vth Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:self_gain X,NM0:self_gain Y,NM0:gds X,NM0:gds Y,NM0:gm X,NM0:gm Y,NM0:cgs X,NM0:cgs Y,NM0:id X,NM0:id Y,NM0:csb X,NM0:csb Y,NM0:cgd X,NM0:cgd Y,NM0:cdb X,NM0:cdb Y,NM0:vdsat X,NM0:vdsat Y
0,0,0,0.2,0,0.2298855757036051,0,34.14748835771606,0,214.1567733582827,0,4.458330154676811e-10,0,9.547816004915192e-08,0,-2.935654873977076e-15,0,2.796052423969147e-09,0,-6.212130280652606e-15,0,-2.900094860790077e-15,0,-5.325910863678489e-15,0,0.04254015875903738
0.008,0.008,0.008,0.2,0.008,0.2298855757036051,0.008,34.00113693756872,0.008,213.228713638023,0.008,5.855772292721736e-10,0.008,1.248618793334233e-07,0.008,-2.953417232440777e-15,0.008,3.672285637866945e-09,0.008,-6.215570658800457e-15,0.008,-2.900125699880121e-15,0.008,-5.325950121067349e-15,0.008,0.04255345226821178
0.016,0.016,0.016,0.2,0.016,0.2298855757036051,0.016,33.83722292536484,0.016,212.1874975053639,0.016,7.681816927406052e-10,0.016,1.629985510120634e-07,0.016,-2.97775970043029e-15,0.016,4.817137589834933e-09,0.016,-6.220114723901339e-15,0.016,-2.900166558725875e-15,0.016,-5.326001978192714e-15,0.016,0.04257080882297141
0.024,0.024,0.024,0.2,0.024,0.2298855757036051,0.024,33.6542486628729,0.024,211.0228875824616,0.024,1.006351719280961e-09,0.024,2.123632457262432e-07,0.024,-3.010822341691812e-15,0.024,6.310146908655341e-09,0.024,-6.226115672193337e-15,0.024,-2.900220689939407e-15,0.024,-5.326070471517767e-15,0.024,0.04259342287254251
0.032,0.032,0.032,0.2,0.032,0.2298855757036051,0.032,33.4507762043154,0.032,209.7248045399982,0.032,1.316362056221365e-09,0.032,2.760737749448961e-07,0.032,-3.055441864827279e-15,0.032,8.253135312932428e-09,0.032,-6.234039146772433e-15,0.032,-2.900292400320943e-15,0.032,-5.326160925864388e-15,0.032,0.04262281751915507
0.04,0.04,0.04,0.2,0.04,0.2298855757036051,0.04,33.22549083362065,0.04,208.2836786110869,0.04,1.718977315385873e-09,0.04,3.580349186975801e-07,0.04,-3.115376940216591e-15,0.04,1.077591081596431e-08,0.04,-6.244498623256642e-15,0.04,-2.900387391413056e-15,0.04,-5.326280362304691e-15,0.04,0.04266092458926018
0.048,0.048,0.048,0.2,0.048,0.2298855757036051,0.048,32.97727710731489,0.048,206.6908727911846,0.048,2.24057885313883e-09,0.048,4.631071987127362e-07,0.048,-3.195605354834721e-15,0.048,1.404322147316757e-08,0.048,-6.258301625369827e-15,0.048,-2.900513209272586e-15,0.048,-5.326438032751555e-15,0.048,0.04271017960315832
0.056,0.056,0.056,0.2,0.056,0.2298855757036051,0.056,32.70530566935846,0.056,204.9391668070408,0.056,2.914535020006587e-09,0.056,5.973023786300919e-07,0.056,-3.302715080946248e-15,0.056,1.826316475668682e-08,0.056,-6.27650985383535e-15,0.056,-2.900679837890545e-15,0.056,-5.326646118757774e-15,0.056,0.04277363240641213
0.064,0.064,0.064,0.2,0.064,0.2298855757036051,0.064,32.40912688097657,0.064,203.0232774557029,0.064,3.78285686435753e-09,0.064,7.680079987476692e-07,0.064,-3.445417417107348e-15,0.064,2.369727542275225e-08,0.064,-6.300517009282853e-15,0.064,-2.900900481083892e-15,0.064,-5.326920641695272e-15,0.064,0.042855073305817
0.07200000000000001,0.07200000000000001,0.07200000000000001,0.2,0.07200000000000001,0.2298855757036051,0.07200000000000001,32.08876446160525,0.07200000000000001,200.94037340177,0.07200000000000001,4.89818806445348e-09,0.07200000000000001,9.842437386633753e-07,0.07200000000000001,-3.635217477707351e-15,0.07200000000000001,3.067253483480181e-08,0.07200000000000001,-6.332148793650596e-15,0.07200000000000001,-2.901192590847571e-15,0.07200000000000001,-5.327282642441644e-15,0.07200000000000001,0.04295917318481156
0.08000000000000002,0.08000000000000002,0.08000000000000002,0.2,0.08000000000000002,0.2298855757036051,0.08000000000000002,31.74479899892559,0.08000000000000002,198.6905218923983,0.08000000000000002,6.326187156542486e-09,0.08000000000000002,1.256953427722414e-06,0.08000000000000002,-3.887284968502595e-15,0.08000000000000002,3.959557075097273e-08,0.08000000000000002,-6.373790126912658e-15,0.08000000000000002,-2.901579216518267e-15,0.08000000000000002,-5.327759699986174e-15,0.08000000000000002,0.0430916342051224
0.08800000000000002,0.08800000000000002,0.08800000000000002,0.2,0.08800000000000002,0.2298855757036051,0.08800000000000002,31.37842774453325,0.08800000000000002,196.2769834878235,0.08800000000000002,8.148373461130668e-09,0.08800000000000002,1.599338163282964e-06,0.08800000000000002,-4.221575002812083e-15,0.08800000000000002,5.096935331616775e-08,0.08800000000000002,-6.428544694411069e-15,0.08800000000000002,-2.902090768859639e-15,0.08800000000000002,-5.32838786766647e-15,0.08800000000000002,0.04325934533499984
