NM0:cdb X,NM0:cdb Y,NM0:cgd X,NM0:cgd Y,NM0:id X,NM0:id Y,NM0:csb X,NM0:csb Y,NM0:cgs X,NM0:cgs Y,NM0:gm X,NM0:gm Y,NM0:self_gain X,NM0:self_gain Y,NM0:gds X,NM0:gds Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:vdsat X,NM0:vdsat Y,NM0:vth X,NM0:vth Y,NM0:vds X,NM0:vds Y,NM0:vgs X,NM0:vgs Y
0,-5.325803929862833e-15,0,-2.900010223368825e-15,0,5.418058244081886e-09,0,-6.20275723977003e-15,0,-2.901477843625978e-15,0,1.758063719087383e-07,0,76.51456995348472,0,2.29768489864892e-09,0,32.44822612809055,0,0.04333362240540829,0,0.2642648364102932,0,0.2,0,0
0.008,-5.325808452783565e-15,0.008,-2.900013313268753e-15,0.008,7.021808101904829e-09,0.008,-6.203153687228033e-15,0.008,-2.903241003282647e-15,0.008,2.273037703410709e-07,0.008,76.3337070132638,0.008,2.977764073498676e-09,0.008,32.37111783683837,0.008,0.04333890556974218,0.008,0.2642648364102932,0.008,0.2,0.008,0.008
0.016,-5.325814315638258e-15,0.016,-2.900017336412673e-15,0.016,9.094324395819182e-09,0.016,-6.203667559633041e-15,0.016,-2.905713188209232e-15,0.016,2.936075136560926e-07,0.016,76.1311608370785,0.016,3.856601034685598e-09,0.016,32.28469845713099,0.016,0.0433457311205737,0.016,0.2642648364102932,0.016,0.2,0.016,0.016
0.024,-5.325821914857747e-15,0.024,-2.900022574500743e-15,0.024,1.176993585115813e-08,0.024,-6.204333581472258e-15,0.024,-2.909107727067144e-15,0.024,3.788506049676952e-07,0.024,75.90470752120181,0.024,4.991134507196067e-09,0.024,32.18799293993663,0.024,0.04335453980051258,0.024,0.2642648364102932,0.024,0.2,0.024,0.024
0.032,-5.325831763907969e-15,0.032,-2.900029394187603e-15,0.032,1.522027202827513e-08,0.032,-6.205196717197682e-15,0.032,-2.913702616680069e-15,0.032,4.88265968140709e-07,0.032,75.65202656897573,0.032,6.454102953812249e-09,0.032,32.07997690991751,0.032,0.0433658939155521,0.032,0.2642648364102932,0.032,0.2,0.032,0.032
0.04,-5.325844527701306e-15,0.04,-2.900038272661281e-15,0.04,1.966410871961483e-08,0.04,-6.206315174154175e-15,0.04,-2.919860055786339e-15,0.04,6.284568500296208e-07,0.04,75.37073756476822,0.04,8.338207510435598e-09,0.04,31.95959023889836,0.04,0.04338050888068505,0.04,0.2642648364102932,0.04,0.2,0.04,0.04
0.048,-5.325861067039047e-15,0.048,-2.900049830898327e-15,0.048,2.537960173934774e-08,0.048,-6.207764275456635e-15,0.048,-2.928051845843246e-15,0.048,8.077250101969574e-07,0.048,75.05845087414949,0.048,1.076128005294527e-08,0.048,31.82575619291648,0.048,0.04339929206784957,0.048,0.2642648364102932,0.048,0.2,0.048,0.048
0.056,-5.325882495951846e-15,0.056,-2.900064876882117e-15,0.056,3.271940817411277e-08,0.056,-6.209641447689734e-15,0.056,-2.938892398035259e-15,0.056,1.036466004719288e-06,0.056,74.71283459459822,0.056,1.387266338298219e-08,0.056,31.67740706689766,0.056,0.04342339025805178,0.056,0.2642648364102932,0.056,0.2,0.056,0.056
0.064,-5.32591025558465e-15,0.064,-2.900084461741108e-15,0.064,4.2129271202803e-08,0.064,-6.212072632273973e-15,0.064,-2.953181584210371e-15,0.064,1.327641500022081e-06,0.064,74.33169956968656,0.064,1.786104054808281e-08,0.064,31.51351706500903,0.064,0.04345424705884653,0.064,0.2642648364102932,0.064,0.2,0.064,0.064
0.07200000000000001,-5.325946209235806e-15,0.07200000000000001,-2.900109952621697e-15,0.07200000000000001,5.417072629619205e-08,0.07200000000000001,-6.215220506446529e-15,0.07200000000000001,-2.971960297628291e-15,0.07200000000000001,1.697339098248794e-06,0.07200000000000001,73.91310341185014,0.07200000000000001,2.296398094382636e-08,0.07200000000000001,31.33314284715607,0.07200000000000001,0.0434936716221534,0.07200000000000001,0.2642648364102932,0.07200000000000001,0.2,0.07200000000000001,0.07200000000000001
