PM0:vgs X,PM0:vgs Y,PM0:vds X,PM0:vds Y,PM0:vth X,PM0:vth Y,PM0:vdsat X,PM0:vdsat Y,PM0:gmoverid X,PM0:gmoverid Y,PM0:self_gain X,PM0:self_gain Y,PM0:gm X,PM0:gm Y,PM0:cgs X,PM0:cgs Y,PM0:id X,PM0:id Y,PM0:csb X,PM0:csb Y,PM0:cgd X,PM0:cgd Y,PM0:cdb X,PM0:cdb Y,PM0:gds X,PM0:gds Y
0,0,0,-0.2,0,-0.2566417921368623,0,-0.03749873898959573,0,31.92908415651969,0,387.7451613696884,0,2.014973784146953e-08,0,-3.088308046831146e-15,0,-6.310778812763791e-10,0,-8.831806251681897e-15,0,-3.100011121192193e-15,0,-7.995216948200443e-15,0,5.196644561673367e-11
0.008,-0.008000000000000007,0.008,-0.2,0.008,-0.2566417921368623,0.008,-0.03750526585533965,0.008,31.84304734011125,0.008,386.689207793235,0.008,2.593485760158223e-08,0.008,-3.089951220066383e-15,0.008,-8.144590642084935e-10,0.008,-8.832458301104058e-15,0.008,-3.100014431388719e-15,0.008,-7.995224386657711e-15,0.008,6.706899773486761e-11
0.016,-0.01600000000000001,0.016,-0.2,0.016,-0.2566417921368623,0.016,-0.03751365888644913,0.016,31.7469842176359,0.016,385.5077247047375,0.016,3.334586286772782e-08,0.016,-3.092442011720804e-15,0.016,-1.050363195851837e-09,0.016,-8.833301574914519e-15,0.016,-3.10001872644904e-15,0.016,-7.99523400680982e-15,0.016,8.649855951205025e-11
0.024,-0.02400000000000002,0.024,-0.2,0.024,-0.2566417921368623,0.024,-0.0375244384977236,0.024,31.63993914666244,0.024,384.1880019955005,0.024,4.282454994997582e-08,0.024,-3.096030420131307e-15,0.024,-1.353496625960191e-09,0.024,-8.834392088154059e-15,0.024,-3.100024299240142e-15,0.024,-7.995246447901788e-15,0.024,1.11467692191172e-10
0.032,-0.03200000000000003,0.032,-0.2,0.032,-0.2566417921368623,0.032,-0.03753826433472074,0.032,31.52093299200061,0.032,382.7167520902088,0.032,5.49264473815034e-08,0.032,-3.10104104815954e-15,0.032,-1.742538785973116e-09,0.032,-8.835802231921127e-15,0.032,-3.100031529650377e-15,0.032,-7.99526253617432e-15,0.032,1.435172280322782e-10
0.04,-0.04000000000000004,0.04,-0.2,0.04,-0.2566417921368623,0.04,-0.03755596992448779,0.04,31.38898346274143,0.04,381.0802886507697,0.04,7.034760289452296e-08,0.04,-3.10789527638926e-15,0.04,-2.241155846963362e-09,0.04,-8.837625542429849e-15,0.04,-3.100040910411356e-15,0.04,-7.995283339396819e-15,0.04,1.846004765651656e-10
0.048,-0.04800000000000004,0.048,-0.2,0.048,-0.2566417921368623,0.048,-0.03757860482650019,0.048,31.24313173297761,0.048,379.2647687821178,0.048,8.995677947760668e-08,0.048,-3.117139985195727e-15,0.048,-2.879249787293323e-09,0.048,-8.839982847390931e-15,0.048,-3.10005308056116e-15,0.048,-7.99531023720114e-15,0.048,2.371872815038234e-10
0.056,-0.05600000000000005,0.056,-0.2,0.056,-0.2566417921368623,0.056,-0.03760748542874204,0.056,31.08247596196529,0.056,377.2565049479112,0.056,1.148338758528537e-07,0.056,-3.129484732880905e-15,0.056,-3.694489361387863e-09,0.056,-8.843030179967411e-15,0.056,-3.100068868796869e-15,0.056,-7.995345011728469e-15,0.056,3.043920365765704e-10
0.064,-0.06400000000000006,0.064,-0.2,0.064,-0.2566417921368623,0.064,-0.03764425550071746,0.064,30.90621195999588,0.064,375.0423486098028,0.064,1.463154536145222e-07,0.064,-3.145849834311991e-15,0.064,-4.734176246281666e-09,0.064,-8.846968956091868e-15,0.064,-3.100089349617019e-15,0.064,-7.995389964345998e-15,0.064,3.90130485682165e-10
0.07200000000000001,-0.07200000000000006,0.07200000000000001,-0.2,0.07200000000000001,-0.2566417921368623,0.07200000000000001,-0.03769095747004103,0.07200000000000001,30.71368063239433,0.07200000000000001,372.6101405998184,0.07200000000000001,1.860483348808684e-07,0.07200000000000001,-3.167428460494543e-15,0.07200000000000001,-6.057507011647873e-09,0.07200000000000001,-8.852059041553105e-15,0.07200000000000001,-3.10011591599065e-15,0.07200000000000001,-7.9954480657483e-15,0.07200000000000001,4.99310981127278e-10
0.08000000000000002,-0.08000000000000007,0.08000000000000002,-0.2,0.08000000000000002,-0.2566417921368623,0.08000000000000002,-0.03775011508640417,0.08000000000000002,30.50442091267222,0.08000000000000002,369.9492126864171,0.08000000000000002,2.360523503810183e-07,0.08000000000000002,-3.195766721049686e-15,0.08000000000000002,-7.738299702656404e-09,0.08000000000000002,-8.85863549446638e-15,0.08000000000000002,-3.100150373356803e-15,0.08000000000000002,-7.995523148687432e-15,0.08000000000000002,6.380669083383217e-10
0.08800000000000002,-0.08800000000000008,0.08800000000000002,-0.2,0.08800000000000002,-0.2566417921368623,0.08800000000000002,-0.03782482762430116,0.08800000000000002,30.27822561787599,0.08800000000000002,367.0509101122902,0.08800000000000002,2.98793496505987e-07,0.08800000000000002,-3.232866723549762e-15,0.08800000000000002,-9.868263126361932e-09,0.08800000000000002,-8.867129958539625e-15,0.08800000000000002,-3.100195061113494e-15,0.08800000000000002,-7.995620154929161e-15,0.08800000000000002,8.1403829352876e-10
0.09600000000000003,-0.09600000000000009,0.09600000000000003,-0.2,0.09600000000000003,-0.2566417921368623,0.09600000000000003,-0.03791887500027948,0.09600000000000003,30.0351960135432,0.09600000000000003,363.90908588116,0.09600000000000003,3.772690332745669e-07,0.09600000000000003,-3.281318841908281e-15,0.09600000000000003,-1.256089802070444e-08,0.09600000000000003,-8.878097901414768e-15,0.09600000000000003,-3.100253009464526e-15,0.09600000000000003,-7.995745450841328e-15,0.09600000000000003,1.036712321598285e-09
0.104,-0.1040000000000001,0.104,-0.2,0.104,-0.2566417921368623,0.104,-0.03803683209786048,0.104,29.77578892430731,0.104,360.5204951086972,0.104,4.75106448260225e-07,0.104,-3.344470863491643e-15,0.104,-1.595613302954878e-08,0.104,-8.892253131631494e-15,0.104,-3.100328141628735e-15,0.104,-7.995907229264604e-15,0.104,1.317834782505167e-09
0.112,-0.1120000000000001,0.112,-0.2,0.112,-0.2566417921368623,0.112,-0.03818418917589279,0.112,29.50084814846765,0.112,356.884993869941,0.112,5.966787189610782e-07,0.112,-3.426643266486412e-15,0.112,-2.022581577403809e-08,0.112,-8.910511265446892e-15,0.112,-3.100425534052492e-15,0.112,-7.996116018874106e-15,0.112,1.671907559045547e-09
0.1200000000000001,-0.1200000000000001,0.1200000000000001,-0.2,0.1200000000000001,-0.2566417921368623,0.1200000000000001,-0.03836747349923137,0.1200000000000001,29.21161007545582,0.1200000000000001,353.0054261747416,0.1200000000000001,7.47238856010571e-07,0.1200000000000001,-3.533401458757194e-15,0.1200000000000001,-2.558020098651152e-08,0.1200000000000001,-8.934044005322549e-15,0.1200000000000001,-3.100551750461864e-15,0.1200000000000001,-7.996385325796556e-15,0.1200000000000001,2.116791416233584e-09
