PM0:vgs X,PM0:vgs Y,PM0:vds X,PM0:vds Y,PM0:vdsat X,PM0:vdsat Y,PM0:gmoverid X,PM0:gmoverid Y,PM0:self_gain X,PM0:self_gain Y,PM0:gds X,PM0:gds Y,PM0:gm X,PM0:gm Y,PM0:cgs X,PM0:cgs Y,PM0:id X,PM0:id Y,PM0:csb X,PM0:csb Y,PM0:cgd X,PM0:cgd Y,PM0:cdb X,PM0:cdb Y,PM0:vth X,PM0:vth Y
0,0,0,-0.2,0,-0.03655085809276774,0,32.22478355469289,0,589.4934256182953,0,1.852801013268371e-11,0,1.092214016300621e-08,0,-3.076899340554258e-15,0,-3.389360580898322e-10,0,-8.834290136865271e-15,0,-3.100024729471924e-15,0,-7.995246890788114e-15,0,-0.2525273259577732
0.008,-0.008000000000000007,0.008,-0.2,0.008,-0.03655785962811129,0.008,32.13160278966618,0.008,587.7546218535319,0.008,2.396931263656466e-11,0.008,1.408807428479315e-08,0.008,-3.08048496904638e-15,0.008,-4.384491904151994e-10,0.008,-8.835688446390682e-15,0.008,-3.100032179264272e-15,0.008,-7.995262842559036e-15,0.008,-0.2525273259577732
0.016,-0.01600000000000001,0.016,-0.2,0.016,-0.03656688157618218,0.016,32.02751190152644,0.016,585.8066111037934,0.016,3.098469885989098e-11,0.016,1.815104143518431e-08,0.016,-3.085887145226502e-15,0.016,-5.667328274831232e-10,0.016,-8.837502125899056e-15,0.016,-3.100041872377803e-15,0.016,-7.995283533403115e-15,0.016,-0.2525273259577732
0.024,-0.02400000000000002,0.024,-0.2,0.024,-0.03657849157915623,0.024,31.91148478212966,0.024,583.6280099144024,0.024,4.001900181731659e-11,0.024,2.335621038940134e-08,0.024,-3.093648582693222e-15,0.024,-7.319061299549818e-10,0.024,-8.839854418147213e-15,0.024,-3.100054483971556e-15,0.024,-7.995310369827286e-15,0.024,-0.2525273259577732
0.032,-0.03200000000000003,0.032,-0.2,0.032,-0.03659340981026251,0.032,31.78247774293297,0.032,581.1964474772144,0.032,5.163828645418455e-11,0.032,3.001198864098282e-08,0.032,-3.104475907991136e-15,0.032,-9.442935764335176e-10,0.032,-8.842905058559068e-15,0.032,-3.100070892239782e-15,0.032,-7.995345175082823e-15,0.032,-0.2525273259577732
0.04,-0.04000000000000004,0.04,-0.2,0.04,-0.03661254687699788,0.04,31.63945401871194,0.04,578.4888625992934,0.04,6.656108392741567e-11,0.04,3.85048457345468e-08,0.04,-3.119288961592352e-15,0.04,-1.216988341277251e-09,0.04,-8.84686103718664e-15,0.04,-3.100092239382189e-15,0.04,-7.995390312253536e-15,0.04,-0.2525273259577732
0.048,-0.04800000000000004,0.048,-0.2,0.048,-0.0366370498035891,0.048,31.48141539394261,0.048,575.4819038859296,0.048,8.569700650174915e-11,0.048,4.931707645895149e-08,0.048,-3.139284829091427e-15,0.048,-1.566545746681886e-09,0.048,-8.851990506638034e-15,0.048,-3.100120010830904e-15,0.048,-7.995448843454511e-15,0.048,-0.2525273259577732
0.056,-0.05600000000000005,0.056,-0.2,0.056,-0.0366683572427373,0.056,31.3074414808102,0.056,572.1524407977843,0.056,1.101942792535414e-10,0.056,6.304792583686634e-08,0.056,-3.166020938257148e-15,0.056,-2.013831976539804e-09,0.056,-8.858640737124151e-15,0.056,-3.100156138167035e-15,0.056,-7.995524735574413e-15,0.056,-0.2525273259577732
0.064,-0.06400000000000006,0.064,-0.2,0.064,-0.03670826497847568,0.064,31.11673666630699,0.064,568.4781846969712,0.064,1.414980045725707e-10,0.064,8.043852877765872e-08,0.064,-3.201522788966938e-15,0.064,-2.585056735078065e-09,0.064,-8.867261265323805e-15,0.064,-3.100203132753669e-15,0.064,-7.995623125900367e-15,0.064,-0.2525273259577732
0.07200000000000001,-0.07200000000000006,0.07200000000000001,-0.2,0.07200000000000001,-0.03675900255650948,0.07200000000000001,30.9086839357399,0.07200000000000001,564.4384055887663,0.07200000000000001,1.814213164023825e-10,0.07200000000000001,1.024011585699759e-07,0.07200000000000001,-3.248423432687161e-15,0.07200000000000001,-3.313022310881316e-09,0.07200000000000001,-8.87843368746249e-15,0.07200000000000001,-3.10026425915835e-15,0.07200000000000001,-7.995750664604157e-15,0.07200000000000001,-0.2525273259577732
0.08000000000000002,-0.08000000000000007,0.08000000000000002,-0.2,0.08000000000000002,-0.03682332146302052,0.08000000000000002,30.68290360779134,0.08000000000000002,560.0147106156744,0.08000000000000002,2.32232011645944e-10,0.08000000000000002,1.300533427975993e-07,0.08000000000000002,-3.310143745314279e-15,0.08000000000000002,-4.238625697309925e-09,0.08000000000000002,-8.892909916243705e-15,0.08000000000000002,-3.1003437600534e-15,0.08000000000000002,-7.995915955574813e-15,0.08000000000000002,-0.2525273259577732
0.08800000000000002,-0.08800000000000008,0.08800000000000002,-0.2,0.08800000000000002,-0.03690459461370089,0.08800000000000002,30.43931344595104,0.08800000000000002,555.1918239270129,0.08800000000000002,2.967578095519738e-10,0.08800000000000002,1.647575095497455e-07,0.08800000000000002,-3.391124893754065e-15,0.08800000000000002,-5.412655273503384e-09,0.08800000000000002,-8.911661159147979e-15,0.08800000000000002,-3.100447147607533e-15,0.08800000000000002,-7.996130122568768e-15,0.08800000000000002,-0.2525273259577732
0.09600000000000003,-0.09600000000000009,0.09600000000000003,-0.2,0.09600000000000003,-0.03700692596105334,0.09600000000000003,30.17818466617166,0.09600000000000003,549.9582748145648,0.09600000000000003,3.785141483737659e-10,0.09600000000000003,2.081669880325405e-07,0.09600000000000003,-3.497127207739067e-15,0.09600000000000003,-6.897929455429084e-09,0.09600000000000003,-8.93594037542023e-15,0.09600000000000003,-3.100581580577291e-15,0.09600000000000003,-7.996407534168319e-15,0.09600000000000003,-0.2525273259577732
0.104,-0.1040000000000001,0.104,-0.2,0.104,-0.03713526774320016,0.104,29.90018616780212,0.104,544.3068642530005,0.104,4.81859465070196e-10,0.104,2.622794144429866e-07,0.104,-3.635612895819859e-15,0.104,-8.771832183602511e-09,0.104,-8.967361504664076e-15,0.104,-3.10075635154667e-15,0.104,-7.996766728505481e-15,0.104,-0.2525273259577732
0.112,-0.1120000000000001,0.112,-0.2,0.112,-0.03729554127706215,0.112,29.60640715556803,0.112,538.2347445897325,0.112,6.121843193163426e-10,0.112,3.294988707490709e-07,0.112,-3.816233520240574e-15,0.112,-1.112930960817069e-08,0.112,-9.007999269350804e-15,0.112,-3.100983515215133e-15,0.112,-7.997231586757645e-15,0.112,-0.2525273259577732
0.1200000000000001,-0.1200000000000001,0.1200000000000001,-0.2,0.1200000000000001,-0.03749475528710731,0.1200000000000001,29.29834667665397,0.1200000000000001,531.7429221392771,0.1200000000000001,7.761426271202597e-10,0.1200000000000001,4.127083485417822e-07,0.1200000000000001,-4.051446455655169e-15,0.1200000000000001,-1.408640405406865e-08,0.1200000000000001,-9.06051371175939e-15,0.1200000000000001,-3.101278696420484e-15,0.1200000000000001,-7.997832812174837e-15,0.1200000000000001,-0.2525273259577732
