PM0:vgs X,PM0:vgs Y,PM0:vds X,PM0:vds Y,PM0:vth X,PM0:vth Y,PM0:vdsat X,PM0:vdsat Y,PM0:gmoverid X,PM0:gmoverid Y,PM0:self_gain X,PM0:self_gain Y,PM0:gds X,PM0:gds Y,PM0:gm X,PM0:gm Y,PM0:cgs X,PM0:cgs Y,PM0:id X,PM0:id Y,PM0:csb X,PM0:csb Y,PM0:cdb X,PM0:cdb Y,PM0:cgd X,PM0:cgd Y
0,0,0,-0.2,0,-0.2601822703780106,0,-0.03820917302541899,0,31.6799295856218,0,288.7790950233442,0,9.293244572901865e-11,0,2.683694757593205e-08,0,-3.091720651071358e-15,0,-8.471277827557429e-10,0,-8.831062064974319e-15,0,-7.995207080670427e-15,0,-3.100006479052325e-15
0.008,-0.008000000000000007,0.008,-0.2,0.008,-0.2601822703780106,0.008,-0.038215299964599,0.008,31.59948588741906,0.008,288.0692097748566,0.008,1.196912120444069e-10,0.008,3.447935287062708e-08,0.008,-3.092777284159151e-15,0.008,-1.091136543262001e-09,0.008,-8.831491522431746e-15,0.008,-7.995211979815261e-15,0.008,-3.100008386293654e-15
0.016,-0.01600000000000001,0.016,-0.2,0.016,-0.2601822703780106,0.016,-0.03822316494721948,0.016,31.50970881542259,0.016,287.275514857067,0.016,1.54049253304013e-10,0.016,4.425457855625707e-08,0.016,-3.094390369221827e-15,0.016,-1.404474403184062e-09,0.016,-8.832045573309973e-15,0.016,-7.995218300439612e-15,0.016,-3.100010854771605e-15
0.024,-0.02400000000000002,0.024,-0.2,0.024,-0.2601822703780106,0.024,-0.03823324951825832,0.024,31.40969990121543,0.024,286.3894870586345,0.024,1.981188679102225e-10,0.024,5.673916095744599e-08,0.024,-3.096722248365187e-15,0.024,-1.806421648718013e-09,0.024,-8.832760322924467e-15,0.024,-7.995226454566561e-15,0.024,-3.100014049565243e-15
0.032,-0.03200000000000003,0.032,-0.2,0.032,-0.2601822703780106,0.032,-0.03824616352961847,0.032,31.29853344814671,0.032,285.4021878320605,0.032,2.545801491632935e-10,0.032,7.265773154981628e-08,0.032,-3.099983224402486e-15,0.032,-2.321442076216337e-09,0.032,-8.833682319227623e-15,0.032,-7.99523697345416e-15,0.032,-3.100018184277237e-15
0.04,-0.04000000000000004,0.04,-0.2,0.04,-0.2601822703780106,0.04,-0.03826267708819807,0.04,31.17527381282317,0.04,284.3043734216366,0.04,3.268258029230631e-10,0.04,9.291800511806474e-08,0.04,-3.104445673197307e-15,0.04,-2.980503285805808e-09,0.04,-8.834871561856086e-15,0.04,-7.995250541997693e-15,0.04,-3.100023535280824e-15
0.048,-0.04800000000000004,0.048,-0.2,0.048,-0.2601822703780106,0.048,-0.03828375949532799,0.048,31.03899830604882,0.048,283.0866466558865,0.048,4.191399643355009e-10,0.048,1.186529269832048e-07,0.048,-3.110462283843721e-15,0.048,-3.822704802719881e-09,0.048,-8.83640537136044e-15,0.048,-7.995268042996424e-15,0.048,-3.100030460140577e-15
0.056,-0.05600000000000005,0.056,-0.2,0.056,-0.2601822703780106,0.056,-0.03831062629855905,0.056,30.88882636444095,0.056,281.7396554355133,0.056,5.369180206942688e-10,0.056,1.512710981475211e-07,0.056,-3.118489618097997e-15,0.056,-4.897275709710644e-09,0.056,-8.838383360096139e-15,0.056,-7.995290614074274e-15,0.056,-3.100039421423901e-15
0.064,-0.06400000000000006,0.064,-0.2,0.064,-0.2601822703780106,0.064,-0.03834479557999908,0.064,30.72395537007478,0.064,280.2543407395891,0.064,6.869356485530813e-10,0.064,1.925166973157659e-07,0.064,-3.12911851375405e-15,0.064,-6.26601281965647e-09,0.064,-8.840933811126672e-15,0.064,-7.995319720807195e-15,0.064,-3.100051017471357e-15
0.07200000000000001,-0.07200000000000006,0.07200000000000001,-0.2,0.07200000000000001,-0.2601822703780106,0.07200000000000001,-0.03838815451695541,0.07200000000000001,30.54370301804309,0.07200000000000001,278.622233071569,0.07200000000000001,8.776766738572659e-10,0.07200000000000001,2.445402347849386e-07,0.07200000000000001,-3.143113275917599e-15,0.07200000000000001,-8.006240616563603e-09,0.07200000000000001,-8.844221851817277e-15,0.07200000000000001,-7.995357250564859e-15,0.07200000000000001,-3.10006602214375e-15
0.08000000000000002,-0.08000000000000007,0.08000000000000002,-0.2,0.08000000000000002,-0.2601822703780106,0.08000000000000002,-0.03844303702910155,0.08000000000000002,30.34755539083678,0.08000000000000002,276.8357901345332,0.08000000000000002,1.119731041028672e-09,0.08000000000000002,3.099816274813358e-07,0.08000000000000002,-3.161462122436242e-15,0.08000000000000002,-1.021438545483428e-08,0.08000000000000002,-8.848459906874687e-15,0.08000000000000002,-7.99540563275712e-15,0.08000000000000002,-3.100085436138788e-15
0.08800000000000002,-0.08800000000000008,0.08800000000000002,-0.2,0.08800000000000002,-0.2601822703780106,0.08800000000000002,-0.0385123129239321,0.08800000000000002,30.13521884033637,0.08800000000000002,274.8887596871984,0.08800000000000002,1.426276254458797e-09,0.08800000000000002,3.920673105594818e-07,0.08800000000000002,-3.185441991590606e-15,0.08800000000000002,-1.301026926411613e-08,0.08800000000000002,-8.853921032963103e-15,0.08800000000000002,-7.99546799262049e-15,0.08800000000000002,-3.100110553201741e-15
0.09600000000000003,-0.09600000000000009,0.09600000000000003,-0.2,0.09600000000000003,-0.2601822703780106,0.09600000000000003,-0.03859948831621435,0.09600000000000003,29.90667237369487,0.09600000000000003,272.7765396674812,0.09600000000000003,1.813658320590776e-09,0.09600000000000003,4.947234408298873e-07,0.09600000000000003,-3.216701593623984e-15,0.09600000000000003,-1.654224299941409e-08,0.09600000000000003,-8.860955873389263e-15,0.09600000000000003,-7.995548347410301e-15,0.09600000000000003,-3.100143045481063e-15
0.104,-0.1040000000000001,0.104,-0.2,0.104,-0.2601822703780106,0.104,-0.03870881617881172,0.104,29.66221551139848,0.104,270.4964929539671,0.104,2.302091731729177e-09,0.104,6.227077398910672e-07,0.104,-3.257367492972407e-15,0.104,-2.099329837733203e-08,0.104,-8.870014122561625e-15,0.104,-7.995651855876961e-15,0.104,-3.100185073445429e-15
0.112,-0.1120000000000001,0.112,-0.2,0.112,-0.2601822703780106,0.112,-0.03884541464448879,0.112,29.4025046473752,0.112,268.0481574898816,0.112,2.916502727317415e-09,0.112,7.817631823716477e-07,0.112,-3.310179019813625e-15,0.112,-2.65883193493941e-08,0.112,-8.88167154464226e-15,0.112,-7.995785134140766e-15,0.112,-3.100239427231265e-15
