NM1:cdb X,NM1:cdb Y,NM1:cgd X,NM1:cgd Y,NM1:csb X,NM1:csb Y,NM1:id X,NM1:id Y,NM1:cgs X,NM1:cgs Y,NM1:gm X,NM1:gm Y,NM1:gds X,NM1:gds Y,NM1:self_gain X,NM1:self_gain Y,NM1:gmoverid X,NM1:gmoverid Y,NM1:vdsat X,NM1:vdsat Y,NM1:vth X,NM1:vth Y,NM1:vds X,NM1:vds Y,NM1:vgs X,NM1:vgs Y,NM1:cgd X,NM1:cgd Y
0,-1.055450594781714e-15,0,-3.977920430507878e-16,0,-1.321596416529473e-15,0,3.252659553301769e-12,0,-6.309662646095671e-16,0,8.963034119825073e-11,0,1.10331964971043e-12,0,81.23696629691541,0,27.5560793442472,0,0.04779469271214581,0,0.5207519285322714,0,0.7,0,0,0,-3.977920430507878e-16
0.008,-1.055451698853987e-15,0.008,-3.988136148719222e-16,0.008,-1.322556752829055e-15,0.008,4.054822116481785e-12,0.008,-6.361744947907807e-16,0.008,1.117190115125597e-10,0.008,1.375312432183768e-12,0.008,81.23173244000165,0.008,27.55218646017877,0.008,0.04779471479784202,0.008,0.5207519285322714,0.008,0.7,0.008,0.008,0.008,-3.988136148719222e-16
0.016,-1.05545287256628e-15,0.016,-3.998499453155203e-16,0.016,-1.323576240290126e-15,0.016,5.054627940282075e-12,0.016,-6.414476193857178e-16,0.016,1.392405881334655e-10,0.016,1.714279636746289e-12,0.016,81.22396436893156,0.016,27.5471890800309,0.016,0.04779474232516129,0.016,0.5207519285322714,0.016,0.7,0.016,0.016,0.016,-3.998499453155203e-16
0.024,-1.055454120089474e-15,0.024,-4.009013494316326e-16,0.024,-1.324658227433595e-15,0.024,6.30069524539786e-12,0.024,-6.468122925653476e-16,0.024,1.735318901761882e-10,0.024,2.136680131287205e-12,0.024,81.21566145310064,0.024,27.54173735499492,0.024,0.04779477663267211,0.024,0.5207519285322714,0.024,0.7,0.024,0.024,0.024,-4.009013494316326e-16
0.032,-1.055455445826989e-15,0.032,-4.019681502595731e-16,0.032,-1.325806223388619e-15,0.032,7.853585464273999e-12,0.032,-6.522775153549707e-16,0.032,2.162543926032946e-10,0.032,2.663009657049813e-12,0.032,81.20676244293826,0.032,27.53577929080365,0.032,0.04779481938775603,0.032,0.5207519285322714,0.032,0.7,0.032,0.032,0.032,-4.019681502595731e-16
0.04,-1.055456854414332e-15,0.04,-4.030506791955338e-16,0.04,-1.327023892027043e-15,0.04,9.788718320283093e-12,0.04,-6.578534378513671e-16,0.04,2.694759397154864e-10,0.04,3.318783680663555e-12,0.04,81.19719922860642,0.04,27.52925707253747,0.04,0.04779487266686226,0.04,0.5207519285322714,0.04,0.7,0.04,0.04,0.04,-4.030506791955338e-16
0.048,-1.055458350727326e-15,0.048,-4.041492762717739e-16,0.048,-1.328315053026285e-15,0.048,1.220000397346841e-11,0.048,-6.635513590492686e-16,0.048,3.35769604696187e-10,0.048,4.135761074653535e-12,0.048,81.18689610818861,0.048,27.52210644421273,0.048,0.04779493905549559,0.048,0.5207519285322714,0.048,0.7,0.048,0.048,0.048,-4.041492762717739e-16
0.056,-1.055459939890085e-15,0.056,-4.05264290453722e-16,0.056,-1.329683682008116e-15,0.056,1.520435803457923e-11,0.056,-6.693837153075737e-16,0.056,4.183363965112373e-10,0.056,5.153463918259998e-12,0.056,81.17576898694641,0.056,27.51425602996589,0.056,0.04779502177250715,0.056,0.5207519285322714,0.056,0.7,0.056,0.056,0.056,-4.05264290453722e-16
0.064,-1.055461627282632e-15,0.064,-4.063960799568136e-16,0.064,-1.331133909604579e-15,0.064,1.8947312133354e-11,0.064,-6.75364058213665e-16,0.064,5.211574893279943e-10,0.064,6.421064244101923e-12,0.064,81.16372450356718,0.064,27.50562659335085,0.064,0.04779512482453795,0.064,0.5207519285322714,0.064,0.7,0.064,0.064,0.064,-4.063960799568136e-16
0.07200000000000001,-1.055463418548055e-15,0.07200000000000001,-4.07545012585018e-16,0.07200000000000001,-1.332670019288974e-15,0.07200000000000001,2.360998323358273e-11,0.07200000000000001,-6.815070227185778e-16,0.07200000000000001,6.491829706656615e-10,0.07200000000000001,7.99972517818024e-12,0.07200000000000001,81.15065907968307,0.07200000000000001,27.49613023154679,0.07200000000000001,0.04779525319785137,0.07200000000000001,0.5207519285322714,0.07200000000000001,0.7,0.07200000000000001,0.07200000000000001,0.07200000000000001,-4.07545012585018e-16
0.08000000000000002,-1.055465319599067e-15,0.08000000000000002,-4.087114660931388e-16,0.08000000000000002,-1.3342964437967e-15,0.08000000000000002,2.94177271094501e-11,0.08000000000000002,-6.878282864499393e-16,0.08000000000000002,8.08565721816081e-10,0.08000000000000002,9.965504322540555e-12,0.08000000000000002,81.13645788976481,0.08000000000000002,27.48566950193239,0.08000000000000002,0.04779541309651276,0.08000000000000002,0.5207519285322714,0.08000000000000002,0.7,0.08000000000000002,0.08000000000000002,0.08000000000000002,-4.087114660931388e-16
0.08800000000000002,-1.055467336623866e-15,0.08800000000000002,-4.098958285750801e-16,0.08800000000000002,-1.336017759947805e-15,0.08800000000000002,3.665087794726543e-11,0.08800000000000002,-6.943445210685221e-16,0.08800000000000002,1.006951019878985e-09,0.08800000000000002,1.241295222528229e-11,0.08800000000000002,81.12099374942092,0.08800000000000002,27.47413647921173,0.08800000000000002,0.04779561223796128,0.08800000000000002,0.5207519285322714,0.08800000000000002,0.7,0.08800000000000002,0.08800000000000002,0.08800000000000002,-4.098958285750801e-16
0.09600000000000003,-1.055469476091117e-15,0.09600000000000003,-4.110984988803583e-16,0.09600000000000003,-1.337838681670999e-15,0.09600000000000003,4.565807006768205e-11,0.09600000000000003,-7.010733364276481e-16,0.09600000000000003,1.253834858665766e-09,0.09600000000000003,1.545956934269523e-11,0.09600000000000003,81.1041259217362,0.09600000000000003,27.4614117425518,0.09600000000000003,0.04779586021960817,0.09600000000000003,0.5207519285322714,0.09600000000000003,0.7,0.09600000000000003,0.09600000000000003,0.09600000000000003,-4.110984988803583e-16
0.104,-1.055471744753918e-15,0.104,-4.123198870611927e-16,0.104,-1.339764051017841e-15,0.104,5.687275307042714e-11,0.104,-7.080332181355004e-16,0.104,1.561006912307781e-09,0.104,1.92513221761347e-11,0.104,81.08569884321581,0.104,27.44736329370426,0.104,0.04779616897325898,0.104,0.5207519285322714,0.104,0.7,0.104,0.104,0.104,-4.123198870611927e-16
0.112,-1.055474149652573e-15,0.112,-4.135604148525113e-16,0.112,-1.341798826946552e-15,0.112,7.083365282878239e-11,0.112,-7.152434589236391e-16,0.112,1.943097611560379e-09,0.112,2.396946462102851e-11,0.112,81.06554077372638,0.112,27.43184540929922,0.112,0.04779655332802322,0.112,0.5207519285322714,0.112,0.7,0.112,0.112,0.112,-4.135604148525113e-16
0.1200000000000001,-1.055476698115989e-15,0.1200000000000001,-4.148205161871559e-16,0.1200000000000001,-1.343948071647931e-15,0.1200000000000001,8.821010311709354e-11,0.1200000000000001,-7.227240840062134e-16,0.1200000000000001,2.418253085019686e-09,0.1200000000000001,2.983896558775685e-11,0.1200000000000001,81.043462378331,0.1200000000000001,27.4146974332146,0.1200000000000001,0.0477970317070744,0.1200000000000001,0.5207519285322714,0.1200000000000001,0.7,0.1200000000000001,0.1200000000000001,0.1200000000000001,-4.148205161871559e-16
0.1280000000000001,-1.055479397761497e-15,0.1280000000000001,-4.161006377484391e-16,0.1280000000000001,-1.346216934181967e-15,0.1280000000000001,1.098333826496965e-10,0.1280000000000001,-7.304957703887778e-16,0.1280000000000001,3.008966868668315e-09,0.1280000000000001,3.71389104879728e-11,0.1280000000000001,81.0192552536712,0.1280000000000001,27.39574251858589,0.1280000000000001,0.04779762698939784,0.1280000000000001,0.5207519285322714,0.1280000000000001,0.7,0.1280000000000001,0.1280000000000001,0.1280000000000001,-4.161006377484391e-16
0.1360000000000001,-1.055482256492905e-15,0.1360000000000001,-4.17401239561975e-16,0.1360000000000001,-1.348610631193698e-15,0.1360000000000001,1.367354474837627e-10,0.1360000000000001,-7.385797598672078e-16,0.1360000000000001,3.743103456891957e-09,0.1360000000000001,4.621532434099213e-11,0.1360000000000001,80.99269041744871,0.1360000000000001,27.37478633351279,0.1360000000000001,0.04779836757456766,0.1360000000000001,0.5207519285322714,0.1360000000000001,0.7,0.1360000000000001,0.1360000000000001,0.1360000000000001,-4.17401239561975e-16
