NM0:vgs X,NM0:vgs Y,NM0:vds X,NM0:vds Y,NM0:vth X,NM0:vth Y,NM0:vdsat X,NM0:vdsat Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:gds X,NM0:gds Y,NM0:gm X,NM0:gm Y,NM0:cgs X,NM0:cgs Y,NM0:id X,NM0:id Y,NM0:csb X,NM0:csb Y,NM0:cgd X,NM0:cgd Y,NM0:cdb X,NM0:cdb Y,NM0:self_gain X,NM0:self_gain Y
0,0,0,0.2,0,0.2337845729304348,0,0.04266190765909059,0,33.97237956144502,0,6.604801856028134e-10,0,1.160849097662011e-07,0,-2.923188178152519e-15,0,3.41703815782006e-09,0,-6.20879380739195e-15,0,-2.900063862287377e-15,0,-5.325872798222538e-15,0,175.7583532354595
0.008,0.008,0.008,0.2,0.008,0.2337845729304348,0.008,0.0426738253353423,0.008,33.83652698988384,0.008,8.663085494421889e-10,0.008,1.516478465048525e-07,0.008,-2.935214676092068e-15,0.008,4.481779528595625e-09,0.008,-6.211141366155707e-15,0.008,-2.900084455761367e-15,0.008,-5.325899584785925e-15,0.008,175.0506174762995
0.016,0.016,0.016,0.2,0.016,0.2337845729304348,0.016,0.04268937104530598,0.016,33.68429339003026,0.016,1.134982262572722e-09,0.016,1.977782541292228e-07,0.016,-2.951714200685367e-15,0.016,5.871527696386295e-09,0.016,-6.214235381343855e-15,0.016,-2.900111686028715e-15,0.016,-5.325934892247761e-15,0.016,174.2566916252143
0.024,0.024,0.024,0.2,0.024,0.2337845729304348,0.024,0.04270960995388576,0.024,33.51422654258599,0.024,1.485083485809685e-09,0.024,2.574669291659001e-07,0.024,-2.974129238269388e-15,0.024,7.682317723928414e-09,0.024,-6.218312659771039e-15,0.024,-2.900147690196791e-15,0.024,-5.325981426418818e-15,0.024,173.3686567967767
0.032,0.032,0.032,0.2,0.032,0.2337845729304348,0.032,0.04273590133084242,0.032,33.32490780487336,0.032,1.940416417481039e-09,0.032,3.34486386797409e-07,0.032,-3.004368173941769e-15,0.032,1.00371288682941e-08,0.032,-6.223684778523917e-15,0.032,-2.900195292525547e-15,0.032,-5.326042749407354e-15,0.032,172.3786625303986
0.04,0.04,0.04,0.2,0.04,0.2337845729304348,0.04,0.04276997117365779,0.04,33.11500694500858,0.04,2.531359556277583e-09,0.04,4.335692064536356e-07,0.04,-3.044954883104522e-15,0.04,1.309283173309823e-08,0.04,-6.230761445113486e-15,0.04,-2.90025822470923e-15,0.04,-5.326123548603563e-15,0.04,171.2791868616279
0.048,0.048,0.048,0.2,0.048,0.2337845729304348,0.048,0.04281399892950489,0.048,32.88334904586315,0.048,3.296523765944455e-09,0.048,5.606178911944363e-07,0.048,-3.099225743272171e-15,0.048,1.704868618093246e-08,0.048,-6.240080975389931e-15,0.048,-2.900341416307908e-15,0.048,-5.326229988712277e-15,0.048,170.0633549152706
0.056,0.056,0.056,0.2,0.056,0.2337845729304348,0.056,0.0428707193761548,0.056,32.62899256736853,0.056,4.284770906723583e-09,0.056,7.229493041423487e-07,0.056,-3.171588618229272e-15,0.056,2.21566543882723e-08,0.056,-6.252349923099111e-15,0.056,-2.900451377324369e-15,0.056,-5.326370171394992e-15,0.056,168.7253110797383
0.064,0.064,0.064,0.2,0.064,0.2337845729304348,0.064,0.0429435400129518,0.064,32.35131586565912,0.064,5.557654622558433e-09,0.064,9.295768170588467e-07,0.064,-3.26786243228618e-15,0.064,2.873381806378307e-08,0.064,-6.268494372212471e-15,0.064,-2.900596701556622e-15,0.064,-5.326554733513062e-15,0.064,167.2606306418735
0.07200000000000001,0.07200000000000001,0.07200000000000001,0.2,0.07200000000000001,0.2337845729304348,0.07200000000000001,0.04303667320531741,0.07200000000000001,32.0501070545136,0.07200000000000001,7.192353104258102e-09,0.07200000000000001,1.191533722917384e-06,0.07200000000000001,-3.395720795688203e-15,0.07200000000000001,3.717721528895802e-08,0.07200000000000001,-6.289725907080905e-15,0.07200000000000001,-2.900788727785817e-15,0.07200000000000001,-5.32679762240088e-15,0.07200000000000001,165.6667443387837
0.08000000000000002,0.08000000000000002,0.08000000000000002,0.2,0.08000000000000002,0.2337845729304348,0.08000000000000002,0.04315528075032679,0.08000000000000002,31.72564912024153,0.08000000000000002,9.28517448936714e-09,0.08000000000000002,1.522242461779389e-06,0.08000000000000002,-3.565268549565183e-15,0.08000000000000002,4.79814443833993e-08,0.08000000000000002,-6.317625722857062e-15,0.08000000000000002,-2.901042406398343e-15,0.08000000000000002,-5.32711709457297e-15,0.08000000000000002,163.9433339160805
