NM0:vgs X,NM0:vgs Y,NM0:vds X,NM0:vds Y,NM0:vth X,NM0:vth Y,NM0:vdsat X,NM0:vdsat Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:self_gain X,NM0:self_gain Y,NM0:gds X,NM0:gds Y,NM0:gm X,NM0:gm Y,NM0:cgs X,NM0:cgs Y,NM0:id X,NM0:id Y,NM0:csb X,NM0:csb Y,NM0:cgd X,NM0:cgd Y,NM0:cdb X,NM0:cdb Y
0,0,0,0.2,0,0.2753397149937514,0,0.04346669483300068,0,31.84990962939683,0,64.16876324831505,0,2.720825395178314e-09,0,1.745920006232005e-07,0,-2.900135824972219e-15,0,5.481711241661917e-09,0,-6.202299008653741e-15,0,-2.900006411586396e-15,0,-5.325798702411845e-15
0.008,0.008,0.008,0.2,0.008,0.2753397149937514,0.008,0.04347070275056708,0.008,31.78651628403484,0.008,64.04200811965006,0.008,3.509489924941302e-09,0.008,2.247547822689209e-07,0.008,-2.90117226755439e-15,0.008,7.070758786044709e-09,0.008,-6.202552814003585e-15,0.008,-2.900008303301298e-15,0.008,-5.325801597895338e-15
0.016,0.016,0.016,0.2,0.016,0.2753397149937514,0.016,0.04347585909017285,0.016,31.71555373424614,0.016,63.90025389834733,0.016,4.524310687716595e-09,0.016,2.891046016600968e-07,0.016,-2.902649382685033e-15,0.016,9.115546620786724e-09,0.016,-6.202879840633165e-15,0.016,-2.900010752711826e-15,0.016,-5.325805328846872e-15
0.024,0.024,0.024,0.2,0.024,0.2753397149937514,0.024,0.04348248705398687,0.024,31.63620930889387,0.024,63.74192937756497,0.024,5.829049878617641e-09,0.024,3.715548857011493e-07,0.024,-2.904696276442821e-15,0.024,1.17446084979483e-08,0.024,-6.203301180137662e-15,0.024,-2.900013924142466e-15,0.024,-5.325810136018228e-15
0.032,0.032,0.032,0.2,0.032,0.2753397149937514,0.032,0.04349099816032441,0.032,31.54761849294941,0.032,63.56537590549685,0.032,7.504968083981952e-09,0.032,4.770561174170692e-07,0.032,-2.907480272967407e-15,0.032,1.51217793030896e-08,0.032,-6.203843984622539e-15,0.032,-2.900018030297886e-15,0.032,-5.325816329401472e-15
0.04,0.04,0.04,0.2,0.04,0.2753397149937514,0.04,0.0435019151967239,0.04,31.44887210267105,0.04,63.36886591970467,0.04,9.65542091210127e-09,0.04,6.118530731772579e-07,0.04,-2.911218190594294e-15,0.04,1.945548565714223e-08,0.04,-6.204543200068221e-15,0.04,-2.900023346487984e-15,0.04,-5.325824308073875e-15
0.048,0.048,0.048,0.2,0.048,0.2753397149937514,0.048,0.04351590061838067,0.048,31.33902724430104,0.048,63.15062993946268,0.048,1.241157778605923e-08,0.048,7.837989557322818e-07,0.048,-2.916190930557333e-15,0.048,2.501031562171734e-08,0.048,-6.20544379061093e-15,0.048,-2.900030229024601e-15,0.048,-5.325834585691026e-15
0.056,0.056,0.056,0.2,0.056,0.2753397149937514,0.056,0.04353379145701156,0.056,31.21712284083792,0.056,62.90889370468275,0.056,1.593950310093866e-08,0.056,1.002736506282411e-06,0.056,-2.922762341879223e-15,0.056,3.21213623143062e-08,0.056,-6.206603589678746e-15,0.056,-2.900039139006397e-15,0.056,-5.325847823210968e-15
0.064,0.064,0.064,0.2,0.064,0.2753397149937514,0.064,0.04355664191397385,0.064,31.08220049952356,0.064,62.64192711073801,0.064,2.044887893322272e-08,0.064,1.280957183631243e-06,0.064,-2.931403599708792e-15,0.064,4.121192096806051e-08,0.064,-6.208096949503084e-15,0.064,-2.900050673058648e-15,0.064,-5.325864870859276e-15
0.07200000000000001,0.07200000000000001,0.07200000000000001,0.2,0.07200000000000001,0.2753397149937514,0.07200000000000001,0.0435857748838451,0.07200000000000001,30.93333138870427,0.07200000000000001,62.34810634663437,0.07200000000000001,2.62036896893368e-08,0.07200000000000001,1.633750431424978e-06,0.07200000000000001,-2.942724680671392e-15,0.07200000000000001,5.28152114536619e-08,0.07200000000000001,-6.210019403992543e-15,0.07200000000000001,-2.900065603042655e-15,0.07200000000000001,-5.325886821876103e-15
