PM0:vgs X,PM0:vgs Y,PM0:vds X,PM0:vds Y,PM0:vth X,PM0:vth Y,PM0:vdsat X,PM0:vdsat Y,PM0:gmoverid X,PM0:gmoverid Y,PM0:self_gain X,PM0:self_gain Y,PM0:gds X,PM0:gds Y,PM0:gm X,PM0:gm Y,PM0:cgs X,PM0:cgs Y,PM0:id X,PM0:id Y,PM0:csb X,PM0:csb Y,PM0:cgd X,PM0:cgd Y,PM0:cdb X,PM0:cdb Y
0,0,0,-0.2,0,-0.2621414054296405,0,-0.03857042892915077,0,31.54256829947572,0,243.4915544661114,0,1.23723599737687e-10,0,3.012565162427239e-08,0,-3.092863712714846e-15,0,-9.550792524566474e-10,0,-8.83081503978244e-15,0,-3.100004344601e-15,0,-7.99520349702471e-15
0.008,-0.008000000000000007,0.008,-0.2,0.008,-0.2621414054296405,0.008,-0.03857634187651287,0.008,31.46502688075288,0.008,242.941695313338,0.008,1.591561136264098e-10,0.008,3.866565606388225e-08,0.008,-3.093726163527563e-15,0.008,-1.228845509520505e-09,0.008,-8.831170920070856e-15,0.008,-3.100005613610778e-15,0.008,-7.995207556809085e-15
0.016,-0.01600000000000001,0.016,-0.2,0.016,-0.2621414054296405,0.016,-0.03858392478622095,0.016,31.37851245049517,0.016,242.3271306313765,0.016,2.0459768643145e-10,0.016,4.95795702867514e-08,0.016,-3.095048607941099e-15,0.016,-1.580048489803324e-09,0.016,-8.83162943604867e-15,0.016,-3.100007253200041e-15,0.016,-7.995212787551471e-15
0.024,-0.02400000000000002,0.024,-0.2,0.024,-0.2621414054296405,0.024,-0.03859363863998963,0.024,31.28215704229149,0.024,241.6412369560179,0.024,2.628159739010732e-10,0.024,6.350717702525583e-08,0.024,-3.096964441824533e-15,0.024,-2.030140628074092e-09,0.024,-8.832220153864058e-15,0.024,-3.100009371555013e-15,0.024,-7.995219526647243e-15
0.032,-0.03200000000000003,0.032,-0.2,0.032,-0.2621414054296405,0.032,-0.03860606694980104,0.032,31.17506386471736,0.032,240.8770479593045,0.032,3.373188361507371e-10,0.032,8.12523654730579e-08,0.032,-3.0996462525802e-15,0.032,-2.606325579398741e-09,0.032,-8.832981140545007e-15,0.032,-3.100012108432439e-15,0.032,-7.995228208552385e-15
0.04,-0.04000000000000004,0.04,-0.2,0.04,-0.2621414054296405,0.04,-0.03862194626572089,0.04,31.05632307637121,0.04,240.0273333169499,0.04,4.325422071329942e-10,0.04,1.038219525251604e-07,0.04,-3.103317287782967e-15,0.04,-3.343021425405114e-09,0.04,-8.833961399253436e-15,0.04,-3.100015644366025e-15,0.04,-7.995239392623497e-15
0.048,-0.04800000000000004,0.048,-0.2,0.048,-0.2621414054296405,0.048,-0.03864220339487849,0.048,30.92503283522283,0.048,239.0847090788222,0.048,5.540818548344915e-10,0.048,1.324724990689586e-07,0.048,-3.108266260482937e-15,0.048,-4.283665620806262e-09,0.048,-8.83522399677159e-15,0.048,-3.100020212554131e-15,0.048,-7.995253798894736e-15
0.056,-0.05600000000000005,0.056,-0.2,0.056,-0.2621414054296405,0.056,-0.03866800043332819,0.056,30.78032628111295,0.056,238.0417838051118,0.056,7.089780241717759e-10,0.056,1.687663935524732e-07,0.056,-3.11486644947029e-15,0.056,-5.482930652407139e-09,0.056,-8.83685007655312e-15,0.056,-3.100026114207519e-15,0.056,-7.99527235402405e-15
0.064,-0.06400000000000006,0.064,-0.2,0.064,-0.2621414054296405,0.064,-0.03870078873229,0.064,30.62140488043725,0.064,236.8913433051164,0.064,9.060634764630675e-10,0.064,2.146385940590397e-07,0.064,-3.123600319817908e-15,0.064,-7.009430030978857e-09,0.064,-8.838944002413496e-15,0.064,-3.100033738360839e-15,0.064,-7.995296250249055e-15
0.07200000000000001,-0.07200000000000006,0.07200000000000001,-0.2,0.07200000000000001,-0.2621414054296405,0.07200000000000001,-0.03874237285822549,0.07200000000000001,30.44757814889014,0.07200000000000001,235.6265741617404,0.07200000000000001,1.15638720405045e-09,0.07200000000000001,2.72475555294881e-07,0.07200000000000001,-3.135091224864836e-15,0.07200000000000001,-8.949005889992605e-09,0.07200000000000001,-8.841639942012045e-15,0.07200000000000001,-3.100043587440568e-15,0.07200000000000001,-7.995327020953448e-15
